시군명,업체명,소재지도로명주소,소재지지번주소,업종명,위도,경도,데이터기준일
평택시,주식회사고오키코리아,경기도 평택시 세교산단로67-21,경기도 평택시 세교동 539-2번지,제조업+ 판매업,37.012614 ,127.079899 ,2025-02-07
평택시,주식회사나노브릭,경기도 평택시 산단로52번길68,경기도 평택시 모곡동 449-8번지,사용업,37.032789 ,127.072800 ,2025-02-07
평택시,주식회사대진상사,경기도 평택시 청원로1336,경기도 평택시 이충동 103-10번지,알선판매업,37.053098 ,127.071339 ,2025-02-07
평택시,주식회사덕성,경기도 평택시 포승읍 평택항만길376,경기도 평택시 포승읍 원정리 1206-10번지,사용업+ 제조업,36.980652 ,126.836445 ,2025-02-07
평택시,주식회사도프아그로,경기도 평택시 청북읍 백봉길491,경기도 평택시 청북읍 백봉리 137번지,알선판매업,37.036877 ,126.981050 ,2025-02-07
평택시,주식회사동양잉크제2공장,경기도 평택시 세교산단로42(세교동),경기도 평택시 세교동 542번지,사용업+ 제조업,37.011084 ,127.082547 ,2025-02-07
평택시,주식회사동오기업,경기도 평택시 안중읍덕우로173,경기도 평택시 안중읍 덕우리 67-37번지,알선판매업,37.005367 ,126.926123 ,2025-02-07
평택시,주식회사동천,경기도 평택시 오성면 오성북로145,경기도 평택시 오성면 양교리 568-7번지,사용업,37.017901 ,126.969852 ,2025-02-07
평택시,주식회사두리케미칼,경기도 평택시 청북읍 청북중앙로406,경기도 평택시 청북읍 고잔리 936-3번지,알선판매업,37.048013 ,126.897205 ,2025-02-07
평택시,주식회사디엠코리아,경기도 평택시 청북읍 청북중앙로277-44,경기도 평택시 청북읍 고잔리 994-16번지,사용업+ 제조업,37.039327 ,126.902130 ,2025-02-07
평택시,주식회사라바켐앤도시광산,경기도 평택시 배미2길49,경기도 평택시 합정동 361-8,알선판매업,36.988825 ,127.109640 ,2025-02-07
평택시,주식회사린켐트랜스포테이션코리아,경기도 평택시 청북읍 원한산길143 (차고지)경기도평택시청북읍원한산길143,,운반업,37.042492 ,126.973860 ,2025-02-07
평택시,주식회사서신,경기도 평택시 산단로15번길48,경기도 평택시 모곡동 430-7번지,사용업,37.041107 ,127.069495 ,2025-02-07
평택시,주식회사시디즈,경기도 평택시 세교산단로67-20(세교동),경기도 평택시 세교동 536-12번지,사용업,37.013465 ,127.080406 ,2025-02-07
평택시,주식회사신양,경기도 평택시 포승읍 평택항만길188,경기도 평택시 포승읍 만호리 630번지,보관저장업,36.966440 ,126.841827 ,2025-02-07
평택시,주식회사씨엔비월드,경기도 평택시 청북읍 고렴길75-12,경기도 평택시 청북읍 고렴리 917-13번지,사용업,37.063215 ,126.926737 ,2025-02-07
평택시,주식회사아모텍(포승공장),경기도 평택시 포승읍 평택항로184번길27,경기도 평택시 포승읍 만호리 579-10번지,사용업,36.976294 ,126.846911 ,2025-02-07
평택시,주식회사알파어셈블리솔루션즈코리아,경기도 평택시 서탄면 수월암길111,경기도 평택시 서탄면 수월암리 191-7번지,제조업,37.121877 ,127.042605 ,2025-02-07
평택시,주식회사에스알코리아,경기도 평택시 오성면 오성서로167,경기도 평택시 오성면 숙성리 764-15번지,사용업+ 제조업,36.993172 ,126.966400 ,2025-02-07
평택시,주식회사에스티에프솔루션,경기도 평택시 청북읍 청오로357-46,경기도 평택시 청북읍 토진리 632-23번지,사용업,37.027491 ,126.964879 ,2025-02-07
평택시,주식회사엘에스켐수원지점,경기도 평택시 오성면 양교길 246,경기도 평택시 오성면 양교리 738-7,알선판매업,37.019037 ,126.959566 ,2025-02-07
평택시,주식회사엘케미칼,경기도 평택시 청북읍 청북중앙로 658-11+ 201호,경기도 평택시 청북읍 고잔리 1-713,판매업,37.060846 ,126.896345 ,2025-02-07
평택시,주식회사엠팩테크,경기도 평택시 청북읍 청북중앙로808-4,경기도 평택시 청북읍 고잔리 2-44번지,사용업,37.065922 ,126.909292 ,2025-02-07
평택시,주식회사오뚜기포승공장,경기도 평택시 포승읍 포승공단로2,경기도 평택시 포승읍 만호리 610번지,사용업,36.974670 ,126.836581 ,2025-02-07
평택시,주식회사우신머티리얼즈,경기도 평택시 포승읍 평택항로156번길71,경기도 평택시 포승읍 내기리 679-20번지,제조업+ 판매업,36.976374 ,126.851470 ,2025-02-07
평택시,주식회사원익아이피에스,경기도 평택시 진위면 진위산단로75,경기도 평택시 진위면 청호리 332-1번지,사용업,37.125554 ,127.082542 ,2025-02-07
평택시,주식회사유원인더스트리,경기도 평택시 서탄면 회화길36-12,경기도 평택시 서탄면 적봉리 383-42번지,사용업,37.098549 ,127.028318 ,2025-02-07
평택시,주식회사이베스코2공장,경기도 평택시 세교산단로22번길79,경기도 평택시 세교동 537-13번지,사용업,37.013359 ,127.085385 ,2025-02-07
평택시,주식회사인프라이엔지,경기도 평택시 오성면 서동대로2051+105+106호,경기도 평택시 오성면 죽리 1-6번지 105+106호,알선판매업,37.007696 ,126.970394 ,2025-02-07
평택시,주식회사지씨엠,경기도 평택시 오성면 오성산단로76,경기도 평택시 오성면 양교리 1092번지,사용업,37.026507 ,126.947236 ,2025-02-07
평택시,주식회사케이엘피케미칼,경기도 평택시 팽성읍 추팔산단1길185(추팔일반산업단지),경기도 평택시 팽성읍 추팔리 391-8번지 추팔일반산업단지,사용업,36.954719 ,127.075700 ,2025-02-07
평택시,주식회사티티엠,경기도 평택시 현덕면 현덕로 1095-3,경기도 평택시 현덕면 황산리 156-20,알선판매업,36.955390 ,126.934999 ,2025-02-07
평택시,주식회사파워피앤비,경기도 평택시 포승읍 포승공단로117번길38,경기도 평택시 포승읍 도곡리 1208-1번지,제조업+ 사용업+ 판매업,36.983929 ,126.846246 ,2025-02-07
평택시,주식회사패스로직스,경기도 평택시 진위면 서탄로33+2층105호,경기도 평택시 진위면 하북리 277번지 2층 105호,운반업,37.103614 ,127.059755 ,2025-02-07
평택시,주식회사한진평택영업소,경기도 평택시 산단로64번길82,경기도 평택시 모곡동 451-5번지,운반업,37.031373 ,127.073863 ,2025-02-07
평택시,㈜썬텍인더스트리,경기도 평택시 포승읍 평택항만길399-8,경기도 평택시 포승읍 원정리 1205-7번지,사용업,36.980140 ,126.832847 ,2025-02-07
평택시,㈜아이엠아이,경기도 평택시 포승읍 평택항로156번길108,경기도 평택시 포승읍 내기리 680-15번지,사용업,36.977525 ,126.854957 ,2025-02-07
평택시,㈜알킨스,경기도 평택시 청북읍 청북중앙로578-19,경기도 평택시 청북읍 고잔리 1-792번지,사용업,37.059547 ,126.894182 ,2025-02-07
평택시,㈜에치와이평택공장,경기도 평택시 진위면 동부대로2,경기도 평택시 진위면 견산리 5-3번지,사용업,37.104905 ,127.084276 ,2025-02-07
평택시,㈜엔에이치리사이텍컴퍼니,경기도 평택시 현덕면 현덕로350-3+ 350-4,경기도 평택시 현덕면 덕목리 903-8번지,사용업+ 제조업,36.953178 ,126.947728 ,2025-02-07
평택시,㈜엠아이텍,경기도 평택시 진위면 하북2길 174,경기도 평택시 진위면 하북리 241-3,사용업,37.102381 ,127.056541 ,2025-02-07
평택시,㈜유피케미칼,경기도 평택시 동삭로455-91,경기도 평택시 칠괴동 585-2번지,사용업+ 제조업+ 알선판매업,37.024471 ,127.097390 ,2025-02-07
평택시,㈜유피케미칼 3공장,경기도 평택시 산단로 197번길 66,경기도 평택시 칠괴동 577-4,사용업+ 제조업,37.034341 ,127.092935 ,2025-02-07
평택시,㈜임덕화학,경기도 평택시 산단로16번길48(모곡동),경기도 평택시 모곡동 449-2번지,사용업+ 제조업,37.033381 ,127.073580 ,2025-02-07
평택시,㈜제이앤피글로벌,경기도 평택시 청북읍 서해로1575-52,경기도 평택시 청북읍 후사리 327-1번지,보관저장업,37.027899 ,126.935517 ,2025-02-07
평택시,㈜창해화학,경기도 평택시 경기대로1286+406호(이충동+명성빌딩),경기도 평택시 이충동 664-1번지 명성빌딩 406호,알선판매업,37.059851 ,127.064983 ,2025-02-07
평택시,㈜케이디파인켐평택지점,경기도 평택시 포승읍 평택항로286,경기도 평택시 포승읍 원정리 1173-4,사용업+ 알선판매업,36.983508 ,126.837289 ,2025-02-07
평택시,㈜켐텍,경기도 평택시 세교산단로50-3,경기도 평택시 세교동 538-6번지,사용업,37.011825 ,127.082741 ,2025-02-07
평택시,㈜퀀텀글로발테크놀로지코리아,경기도 평택시 청북읍 현곡산단로93번길61,경기도 평택시 청북읍 현곡리 452-4번지,사용업,37.038127 ,126.941692 ,2025-02-07
평택시,㈜크린피스,경기도 평택시 산단로15번길 46,경기도 평택시 모곡동 430-6,제조업,37.040831 ,127.069870 ,2025-02-07
평택시,㈜투피오,경기도 평택시 진위면 신리길50번길10,경기도 평택시 진위면 신리 222-4번지,알선판매업,37.096270 ,127.068923 ,2025-02-07
평택시,㈜평택현대페인트,경기도 평택시 삽다리길8+1층,경기도 평택시 모곡동 434번지 2층,알선판매업,37.002389 ,127.058495 ,2025-02-07
평택시,㈜퓨리텍송탄공장,경기도 평택시 산단로63-16(모곡동),경기도 평택시 모곡동 437번지,사용업,37.039334 ,127.077880 ,2025-02-07
평택시,㈜피제이케이 평택1센터,경기도 평택시 청북읍 오성산단1로 112-97,경기도 평택시 청북읍 토진리 314-14,보관저장업,37.031563 ,126.955461 ,2025-02-07
평택시,㈜한국알테코,경기도 평택시 서탄면 수월암4길114,경기도 평택시 서탄면 수월암리 282-2번지,사용업+ 제조업,37.130729 ,127.029652 ,2025-02-07
평택시,㈜한성탱크터미널,경기도 평택시 청북읍 청북중앙로406,경기도 평택시 청북읍 고잔리 936-3번지,보관저장업,37.048013 ,126.897205 ,2025-02-07
평택시,㈜호켐상사,경기도 평택시 청북읍 청북로161-5+2층202호,경기도 평택시 청북읍 현곡리 9-3번지 2층 202호,알선판매업,37.052887 ,126.946659 ,2025-02-07
평택시,㈜흥일,경기도 평택시 중앙로118,경기도 평택시 비전동 739-21번지,알선판매업,36.992949 ,127.097302 ,2025-02-07
평택시,중앙알칸주식회사지점,경기도 평택시 청북읍 서해로1900,경기도 평택시 청북읍 고렴리 954-4번지,사용업,37.057990 ,126.926811 ,2025-02-07
평택시,지앤티솔루션,경기도 평택시 청북읍 청북중앙로 658-12+ B동,경기도 평택시 청북읍 고잔리 53-1,알선판매업,37.060933 ,126.896006 ,2025-02-07
평택시,지엠씨 주식회사,경기도 평택시 안중읍 송담9길 128+ 3층 301호(에이스프라자),경기도 평택시 안중읍 안중리 450-7,알선판매업,36.984075 ,126.934330 ,2025-02-07
평택시,지원테크,경기도 평택시 산단로15번길57,경기도 평택시 모곡동 431,제조업,37.040868 ,127.067688 ,2025-02-07
평택시,진양폴리우레탄,경기도 평택시 세교산단로85,경기도 평택시 세교동 536-8번지,사용업,37.014881 ,127.081749 ,2025-02-07
평택시,창성평택지점,경기도 평택시 청북읍 서해로1840-29,경기도 평택시 청북읍 고렴리 1135번지,사용업,37.052213 ,126.932704 ,2025-02-07
평택시,칠성고분자주식회사,경기도 평택시 서탄면 서탄로140,경기도 평택시 서탄면 금암리 27번지,사용업+ 제조업+ 판매업,37.105652 ,127.047556 ,2025-02-07
평택시,케이씨씨페인트.고려타일,경기도 평택시 팽성읍 안정로65+102호,경기도 평택시 팽성읍 안정리 27-2번지 102호,알선판매업,36.961808 ,127.050157 ,2025-02-07
평택시,케이엔케이코팅스㈜,경기도 평택시 포승읍 포승공단로152,경기도 평택시 포승읍 내기리 679-26번지,사용업,36.980651 ,126.852069 ,2025-02-07
평택시,코스맥스주식회사,경기도 평택시 청북읍 고렴산단로51,경기도 평택시 청북읍 고렴리 1127번지,사용업+ 판매업,37.054561 ,126.934358 ,2025-02-07
평택시,킹 전자담배,경기도 평택시 비전5로 21+ 110호(비전동),경기도 평택시 비전동 1092-2,판매업,37.000740 ,127.113580 ,2025-02-07
평택시,태영엠앤씨,경기도 평택시 오성면 오성북로118,경기도 평택시 오성면 양교리 449-10번지,알선판매업,37.014836 ,126.972827 ,2025-02-07
평택시,태영환경산업㈜,경기도 평택시 원평로59번길20(평택동)+1층,경기도 평택시 평택동 95-19번지 1층,알선판매업,36.990420 ,127.082391 ,2025-02-07
평택시,태형물류,경기도 평택시 청북읍 청북로 146,경기도 평택시 청북읍 현곡리 26-2번지,보관저장업,37.050593 ,126.947151 ,2025-02-07
평택시,티디케이한국㈜,경기도 평택시 청북읍 현곡산단로104,경기도 평택시 청북읍 현곡리 460번지,사용업,37.036464 ,126.947211 ,2025-02-07
평택시,티엠에스(TMS),경기도 평택시 서탄면 수월암1길 24+ 다동,,사용업,37.128618 ,127.049385 ,2025-02-07
평택시,파운드리더블유 주식회사,경기도 평택시 청북읍 원한산길 141 보관저장시설:청북읍 어연리 659-4번지,경기도 평택시 청북읍 어연리 659-4번지,보관저장업,37.041796 ,126.974690 ,2025-02-07
평택시,페인트종합백화점,경기도 평택시 방여울로61+1층2호(가재동),경기도 평택시 가재동 75-1,알선판매업,37.041476 ,127.090343 ,2025-02-07
평택시,평택시 상하수도사업소(송탄정수장),경기도 평택시 진위면 신리길 214,경기도 평택시 진위면 마산리 568-4,사용업,37.095594 ,127.086289 ,2025-02-07
평택시,평택에너지서비스㈜,경기도 평택시 오성면 서동대로2427-177,경기도 평택시 오성면 안화리 517번지,사용업,37.025255 ,127.001604 ,2025-02-07
평택시,포승그린파워주식회사,경기도 평택시 포승읍 평택항로156번길94,경기도 평택시 포승읍 내기리 680-17번지,사용업,36.976865 ,126.853833 ,2025-02-07
평택시,포앤테크,경기도 평택시 오성면 오성북로118,경기도 평택시 오성면 양교리 449-10번지,사용업+ 알선판매업,37.014836 ,126.972827 ,2025-02-07
평택시,프로켐주식회사,경기도 평택시 포승읍 평택항로156번길75,경기도 평택시 포승읍 내기리 679-19,사용업+ 제조업,36.976549 ,126.851827 ,2025-02-07
평택시,피에스테크놀러지(주)제3공장,경기도 평택시 청북읍 현곡산단로21,경기도 평택시 청북읍 현곡리 464-4번지,사용업,37.035164 ,126.940833 ,2025-02-07
평택시,피에스테크놀러지㈜,경기도 평택시 청북읍 현곡산단로93번길60,경기도 평택시 청북읍 현곡리 456-2번지,사용업,37.038049 ,126.943008 ,2025-02-07
평택시,하랑(Ha Rang),경기도 평택시 포승읍 평택항로 481+ 지하101호,,알선판매업,36.993663 ,126.843661 ,2025-02-07
평택시,한국니토옵티칼㈜,경기도 평택시 청북읍 현곡산단로40,경기도 평택시 청북읍 현곡리 474,사용업+ 제조업,37.033733 ,126.944068 ,2025-02-07
평택시,한국로드㈜,경기도 평택시 고덕면 효덕새싹길62,경기도 평택시 고덕면 방축리 422-1번지,사용업+ 제조업,37.019346 ,127.036844 ,2025-02-07
평택시,한국사쿠라노미야화학㈜,경기도 평택시 포승읍 포승공단순환로536,경기도 평택시 포승읍 원정리 1203-5번지,사용업,36.989765 ,126.839429 ,2025-02-07
평택시,한국산노프코㈜,경기도 평택시 서탄면 수월암4길175,경기도 평택시 서탄면 수월암리 250-2번지,사용업+ 제조업,37.133386 ,127.031678 ,2025-02-07
평택시,한국서부발전㈜평택발전본부,경기도 평택시 포승읍 남양만로175-2,경기도 평택시 포승읍 원정리 1-21번지,사용업,37.004215 ,126.792077 ,2025-02-07
평택시,한국알파라발주식회사,경기도 평택시 포승읍 평택항로268번길169,경기도 평택시 포승읍 도곡리 1216번지,판매업,36.983471 ,126.849173 ,2025-02-07
평택시,한국칼라디자인기술㈜,경기도 평택시 지산로175번길152,경기도 평택시 지산동 382-5번지,알선판매업,37.083753 ,127.080526 ,2025-02-07
평택시,한국쿠제주식회사,경기도 평택시 포승읍 포승공단순환로159,경기도 평택시 포승읍 내기리 680-24번지,사용업,36.971924 ,126.857209 ,2025-02-07
평택시,한국호야전자주식회사,경기도 평택시 청북읍 현곡산단로55,경기도 평택시 청북읍 현곡리 463-3번지,사용업,37.034982 ,126.943668 ,2025-02-07
평택시,한맥테코주식회사,경기도 평택시 포승읍 포승공단순환로614,경기도 평택시 포승읍 원정리 1204-3번지,사용업,36.986496 ,126.831335 ,2025-02-07
평택시,한맥하이텍주식회사,경기도 평택시 청북읍 고렴길135,경기도 평택시 청북읍 고렴리 930-2번지,사용업,37.060948 ,126.929074 ,2025-02-07
평택시,한미사이언스㈜,경기도 평택시 산단로106(모곡동),경기도 평택시 모곡동 440-1번지,사용업,37.036450 ,127.081242 ,2025-02-07
평택시,한미약품㈜평택공단,경기도 평택시 팽성읍 추팔산단로114,경기도 평택시 팽성읍 추팔리 395,사용업,36.956625 ,127.076227 ,2025-02-07
평택시,한수케미칼,경기도 평택시 평택로145(신대동),경기도 평택시 신대동 111-1번지,알선판매업,36.998193 ,127.079534 ,2025-02-07
평택시,한양잉크㈜,경기도 평택시 포승읍 평택항만길366,경기도 평택시 포승읍 원정리 1206-11번지,사용업+ 제조업,36.979964 ,126.836950 ,2025-02-07
평택시,한온시스템㈜,경기도 평택시 포승읍 하만호길32-1,경기도 평택시 포승읍 만호리 338-2번지,사용업,36.956508 ,126.854688 ,2025-02-07
평택시,한화이센셜 주식회사,경기도 평택시 포승읍 평택항로268번길142,경기도 평택시 포승읍 도곡리 1209-3,사용업,36.985099 ,126.850800 ,2025-02-07
평택시,현대상사,경기도 평택시 서정남로144,경기도 평택시 서정동 222번지,알선판매업,37.060450 ,127.055272 ,2025-02-07
평택시,형제상사,경기도 평택시 평택로180(세교동+1층105호),경기도 평택시 세교동 180-6번지 1층 105호,알선판매업,37.001046 ,127.077994 ,2025-02-07
평택시,혜솔 주식회사,경기도 평택시 서탄면 마두1길170-20,경기도 평택시 서탄면 마두리 21-13번지,알선판매업,37.111213 ,127.020044 ,2025-02-07
평택시,홍성상사,경기도 평택시 포승읍 평택항로184번길24(가동102호103호),경기도 평택시 포승읍 만호리 576-1번지 (가동102호103호),알선판매업,36.975733 ,126.844786 ,2025-02-07
평택시,홍원제지,경기도 평택시 진위면 진위서로23,경기도 평택시 진위면 하북리 37번지,사용업,37.109645 ,127.065846 ,2025-02-07
평택시,화승상사,경기도 평택시 지산로 246(지산동),경기도 평택시 지산동 228-24번지,알선판매업,37.077674 ,127.080948 ,2025-02-07
평택시,화인플라텍 주식회사,경기도 평택시 청북읍 청북산단로 84,경기도 평택시 청북읍 어연리 899-1번지,사용업,37.053953 ,126.978945 ,2025-02-07
평택시,후니산업,경기도 평택시 포승읍 포승장안로 321,,알선판매업,37.011318 ,126.887273 ,2025-02-07
